	site	patient	visit	lambda
0	feces	3001	4	0.6017252179502133
1	feces	3002	5	0.6305789162191717
2	feces	3002	6	0.6352729590562279
3	feces	3002	8	0.7604857718823512
4	feces	3002	9	0.6430219334645478
5	feces	3003	4	0.174178219223173
6	feces	3003	5	0.1574444039126629
7	feces	3003	6	0.6065640303414934
8	feces	3003	7	0.3564910509143791
9	feces	3005	4	0.554574798270147
10	feces	3008	4	0.667282669014556
11	feces	3004	5	0.174178219223173
12	feces	3006	6	0.6496085463677511
13	feces	3007	5	0.7208369799775548
14	feces	3007	6	0.6694198376716022
15	feces	3007	7	0.6470621215825495
16	feces	3007	4	0.6965397680286015
17	feces	3001	11	1.0
18	feces	3001	12	1.0
19	feces	3009	4	0.6247144665335753
20	feces	3001	13	0.601501020480657
21	feces	3008	6	0.648820081879178
22	feces	3009	5	0.6111786505721707
23	feces	3001	6	0.6508185709406247
24	feces	5004	8	0.6711529044555111
25	feces	5004	9	0.7489951146627069
26	feces	5001	12	1.0
27	feces	5008	6	0.5565923558379461
28	feces	5001	13	1.0
29	feces	5008	4	0.6134488451315694
30	feces	5004	11	0.5084074305529513
31	feces	5001	4	0.6306541279766376
32	feces	5001	5	0.6373567685644488
33	feces	5001	7	0.7604628273739853
34	feces	5001	8	0.6308821854020934
35	feces	5001	9	0.617902684106858
36	feces	5003	4	0.6600930847373752
37	feces	5004	4	0.7117624226094871
38	feces	5002	4	0.5720753191838153
39	feces	4001	9	0.7566700451252751
40	feces	4001	7	0.7108674781301701
41	feces	4001	8	0.7375455653686738
42	feces	4001	6	0.6608596340903653
43	feces	4001	5	0.6441457661278487
44	feces	4014	4	0.591938912113014
45	feces	4011	5	0.4123998893697292
46	feces	4010	5	1.0
47	feces	4006	7	1.0
48	feces	4006	6	0.2160527762172499
49	feces	4006	5	0.3047114421950375
50	feces	4007	7	1.0
51	feces	4007	5	0.6849473443487945
52	feces	4001	12	0.6919058379476024
53	feces	4001	11	0.7033841450297096
54	feces	4007	4	0.7534470373693728
55	feces	4006	4	0.6240589074234304
56	feces	4010	4	1.0
57	feces	4011	4	0.3327541409395803
58	feces	2014	4	0.5885253969701558
59	feces	2010	7	0.6296390011792441
60	feces	2010	8	0.6666766574022814
61	feces	2010	9	0.6510736799609051
62	feces	2010	11	0.2356801106145354
63	feces	2014	5	0.4962174923525053
64	feces	2014	7	0.5753461906094027
65	feces	2014	8	0.5562665314438416
66	feces	2008	20	0.6128695472214182
67	feces	2010	13	0.6203518431436165
68	feces	2010	15	0.7973112299077559
69	feces	2021	13	0.67698522359303
70	feces	2034	5	0.7620700085659681
71	feces	2026	5	0.6483432257543632
72	feces	2026	7	1.0
73	feces	2026	9	0.6358382697169502
74	feces	2026	11	0.7079169439539101
75	feces	2014	15	1.0
76	feces	2014	13	1.0
77	feces	2014	16	1.0
78	feces	2028	8	0.6121338011223109
79	feces	2028	9	0.6026288700775085
80	feces	2028	11	0.5826644756549384
81	feces	2027	7	0.2401559201689868
82	feces	2025	5	0.0785175201980914
83	feces	2025	6	0.2302146380875818
84	feces	2025	7	0.6080145592454596
85	feces	2025	9	0.5626443146474863
86	feces	2025	8	0.6553106137804094
87	feces	2025	11	0.3506239801003576
88	feces	2008	13	0.5405225450801489
89	feces	2025	4	0.555493960995243
90	feces	2021	5	0.6406647949436797
91	feces	2021	8	0.6241810415275857
92	feces	2021	9	1.0
93	feces	2021	11	0.6280877891994004
94	feces	2026	4	0.6287118223076583
95	feces	2027	4	0.7749506572240439
96	feces	2014	9	0.6005825078730597
97	feces	2014	11	0.5778352645539727
